date,open,high,low,close,volume,eob,pct_chg,ssf_s,ssf_m,ssf_m_20,ssf_l,grid_coupling
2024-08-05,4.89,5.05,4.87,4.92,25092872,2024-08-05 00:00:00+08:00,0.0,4.655637186554912,4.622202112650293,5.546642535180352,4.313163533002737,5.181724188635618
2024-08-06,4.95,5.01,4.87,4.99,16391156,2024-08-06 00:00:00+08:00,1.42,4.658830159986566,4.635395568824155,5.562474682588985,4.315511040613968,5.181724188635618
2024-08-07,4.94,5.08,4.94,5.03,20631136,2024-08-07 00:00:00+08:00,0.8,4.670434302179871,4.648314308957717,5.577977170749261,4.318019696042739,5.181724188635618
2024-08-08,4.96,5.01,4.91,4.95,15222294,2024-08-08 00:00:00+08:00,-1.59,4.688868783514312,4.660960386391359,5.593152463669631,4.320688311845732,5.181724188635618
2024-08-09,4.95,5.15,4.95,5.02,21870342,2024-08-09 00:00:00+08:00,1.41,4.713015652387327,4.673344863870938,5.608013836645125,4.323516605326147,5.181724188635618
2024-08-12,5.04,5.08,4.84,4.88,19411179,2024-08-12 00:00:00+08:00,-2.79,4.740529818000411,4.685458289403902,5.622549947284683,4.326501901002741,5.181724188635618
2024-08-13,4.86,4.95,4.83,4.88,20327195,2024-08-13 00:00:00+08:00,0.0,4.769435786288804,4.697291892848409,5.636750271418091,4.329641416124171,5.181724188635618
2024-08-14,4.88,4.91,4.69,4.72,20699424,2024-08-14 00:00:00+08:00,-3.28,4.796932354838708,4.708815805315855,5.650578966379026,4.33292978995537,5.181724188635618
2024-08-15,4.75,4.81,4.65,4.75,13896221,2024-08-15 00:00:00+08:00,0.64,4.82129098931218,4.720007235199818,5.664008682239781,4.336362155844402,5.181724188635618
2024-08-16,4.73,4.75,4.59,4.59,16530885,2024-08-16 00:00:00+08:00,-3.37,4.840213419812846,4.730824044174657,5.676988853009588,4.339931179302318,5.181724188635618
2024-08-19,4.59,4.68,4.56,4.62,9592824,2024-08-19 00:00:00+08:00,0.65,4.852638381220551,4.741232820899199,5.689479385079039,4.3436301272755955,5.181724188635618
2024-08-20,4.64,4.68,4.43,4.5,16711672,2024-08-20 00:00:00+08:00,-2.6,4.857320879479559,4.751187806829612,5.701425368195534,4.347450522713955,5.181724188635618
2024-08-21,4.5,4.52,4.45,4.47,7788700,2024-08-21 00:00:00+08:00,-0.67,4.853707620337673,4.76064468090675,5.712773617088099,4.351383631872397,5.181724188635618
2024-08-22,4.5,4.59,4.46,4.53,14333098,2024-08-22 00:00:00+08:00,1.34,4.842470155742435,4.769572972380745,5.723487566856893,4.3554218791505965,5.181724188635618
2024-08-23,4.5,4.55,4.39,4.4,16024466,2024-08-23 00:00:00+08:00,-2.87,4.823681375318984,4.777929029571515,5.733514835485818,4.359555856536426,5.181724188635618
2024-08-26,4.4,4.44,4.33,4.41,9596884,2024-08-26 00:00:00+08:00,0.23,4.798114856738682,4.78567670400228,5.7428120448027355,4.363776590840171,5.181724188635618
2024-08-27,4.39,4.4,4.22,4.27,14558670,2024-08-27 00:00:00+08:00,-3.17,4.765885561705645,4.79276643923655,5.751319727083859,4.368073209841065,5.181724188635618
2024-08-28,4.28,4.33,4.26,4.28,8317886,2024-08-28 00:00:00+08:00,0.23,4.72783474564489,4.799157381836689,5.7589888582040265,4.372435369699197,5.181724188635618
2024-08-29,4.29,4.46,4.24,4.41,12233884,2024-08-29 00:00:00+08:00,3.04,4.686161968513836,4.804833168099441,5.7657998017193295,4.37685509844552,5.181724188635618
2024-08-30,4.39,4.54,4.36,4.44,13933820,2024-08-30 00:00:00+08:00,0.68,4.643093261977889,4.809786048201201,5.771743257841441,4.381325140454313,5.181724188635618
2024-12-05,9.24,9.38,9.15,9.32,39171230,2024-12-05 00:00:00+08:00,1.19,9.194850542152473,9.288367621006406,11.146041145207688,5.921352010764499,9.752786002056727
2024-12-06,9.48,9.55,9.18,9.36,54257607,2024-12-06 00:00:00+08:00,0.43,9.143949593349697,9.374840714770588,11.249808857724705,5.973779292079023,9.752786002056727
2024-12-09,9.35,9.36,9.09,9.19,37372606,2024-12-09 00:00:00+08:00,-1.82,9.10851621008091,9.457354861611293,11.348825833933551,6.026630623915502,9.752786002056727
2024-12-10,9.38,9.4,9.23,9.25,48700077,2024-12-10 00:00:00+08:00,0.65,9.086709720227265,9.535851593161208,11.44302191179345,6.079870414864758,9.752786002056727
2024-12-11,9.21,9.33,9.17,9.25,28065566,2024-12-11 00:00:00+08:00,0.0,9.07655947807957,9.61028819633671,11.532345835604051,6.133463518519966,9.752786002056727
2024-12-12,9.28,9.36,9.19,9.36,40027398,2024-12-12 00:00:00+08:00,1.19,9.076875494499086,9.680651904114294,11.616782284937152,6.187376952152362,9.752786002056727
2024-12-13,9.35,9.35,9.03,9.04,43800006,2024-12-13 00:00:00+08:00,-3.42,9.083779894625138,9.746898961931514,11.696278754317817,6.241573169146864,9.752786002056727
2024-12-16,9.01,9.08,8.95,9.0,25972388,2024-12-16 00:00:00+08:00,-0.44,9.093926440815034,9.808996637050733,11.770795964460879,6.296014659062999,9.752786002056727
2024-12-17,8.96,9.03,8.73,8.77,29491459,2024-12-17 00:00:00+08:00,-2.56,9.103105237644593,9.866896973397946,11.840276368077534,6.350661046559984,9.752786002056727
2024-12-18,8.96,9.33,8.93,9.02,60130468,2024-12-18 00:00:00+08:00,2.85,9.11040695880514,9.920604511138132,11.904725413365759,6.405476709076669,9.752786002056727
2024-12-19,8.86,9.0,8.75,8.82,32991431,2024-12-19 00:00:00+08:00,-2.22,9.113815902437874,9.970110314006012,11.964132376807214,6.460423618287871,9.752786002056727
2024-12-20,8.79,8.84,8.72,8.72,28540331,2024-12-20 00:00:00+08:00,-1.13,9.111499157665047,10.015407549939082,12.018489059926898,6.515463050687564,9.752786002056727
2024-12-23,8.64,8.73,8.36,8.36,34938654,2024-12-23 00:00:00+08:00,-4.13,9.099973504325694,10.056456471820548,12.067747766184658,6.570551642533264,9.752786002056727
2024-12-24,8.48,8.48,8.3,8.4,21489404,2024-12-24 00:00:00+08:00,0.48,9.077954979724232,10.093242962813534,12.111891555376241,6.625647862132216,9.752786002056727
