name,category,count,codes
融资融券,3,386,"['000001', '000002', '000009', '000012', '000021', '000027', '000039', '000046', '000059', '000060', '000061', '000063', '000069', '000100', '000157', '000338', '000401', '000402', '000422', '000423', '000425', '000528', '000538', '000539', '000540', '000550', '000559', '000568', '000581', '000596', '000623', '000625', '000629', '000630', '000651', '000686', '000709', '000718', '000725', '000728', '000729', '000758', '000762', '000768', '000776', '000778', '000780', '000783', '000792', '000793', '000800', '000826', '000839', '000858', '000869', '000876', '000877', '000878', '000895', '000917', '000927', '000933', '000937', '000960', '000968', '000969', '000970', '000983', '002001', '002007', '002008', '002024', '002038', '002041', '002051', '002056', '002069', '002073', '002081', '002092', '002106', '002142', '002146', '002155', '002202', '002230', '002236', '002241', '002269', '002304', '002415', '002422', '002500', '300070', '600000', '600009', '600010', '600011', '600015', '600016', '600019', '600022', '600027', '600028', '600029', '600030', '600031', '600036', '600038', '600039', '600048', '600050', '600058', '600059', '600060', '600062', '600063', '600066', '600067', '600068', '600077', '600078', '600079', '600085', '600089', '600094', '600096', '600100', '600104', '600107', '600108', '600109', '600111', '600113', '600115', '600116', '600118', '600120', '600123', '600125', '600132', '600139', '600141', '600143', '600145', '600146', '600149', '600150', '600153', '600157', '600158', '600160', '600163', '600166', '600169', '600170', '600177', '600179', '600185', '600186', '600188', '600193', '600196', '600197', '600199', '600208', '600209', '600216', '600218', '600219', '600221', '600223', '600225', '600229', '600230', '600239', '600252', '600256', '600257', '600259', '600260', '600266', '600267', '600271', '600276', '600277', '600288', '600293', '600298', '600300', '600301', '600309', '600311', '600312', '600315', '600316', '600321', '600325', '600332', '600333', '600340', '600348', '600354', '600362', '600366', '600369', '600372', '600376', '600383', '600395', '600406', '600408', '600415', '600418', '600425', '600426', '600433', '600435', '600436', '600449', '600456', '600458', '600467', '600470', '600478', '600483', '600489', '600490', '600491', '600495', '600497', '600498', '600502', '600503', '600515', '600516', '600518', '600519', '600528', '600535', '600543', '600545', '600546', '600547', '600549', '600557', '600559', '600568', '600582', '600583', '600585', '600588', '600598', '600600', '600606', '600609', '600614', '600616', '600636', '600637', '600642', '600644', '600645', '600649', '600655', '600660', '600664', '600667', '600668', '600674', '600675', '600690', '600692', '600694', '600696', '600702', '600703', '600711', '600720', '600739', '600740', '600741', '600742', '600743', '600744', '600748', '600750', '600759', '600770', '600779', '600787', '600795', '600800', '600801', '600804', '600805', '600807', '600809', '600815', '600816', '600820', '600823', '600825', '600827', '600837', '600839', '600844', '600868', '600875', '600880', '600881', '600886', '600887', '600893', '600900', '600970', '600971', '600987', '600999', '601001', '601002', '601005', '601006', '601009', '601038', '601088', '601099', '601101', '601111', '601117', '601118', '601139', '601166', '601168', '601169', '601186', '601288', '601311', '601318', '601328', '601333', '601336', '601377', '601388', '601390', '601398', '601555', '601600', '601601', '601607', '601608', '601618', '601628', '601633', '601666', '601668', '601669', '601688', '601699', '601717', '601766', '601788', '601789', '601800', '601801', '601808', '601818', '601857', '601866', '601888', '601898', '601899', '601901', '601918', '601919', '601928', '601929', '601939', '601958', '601988', '601989', '601991', '601992', '601996', '601998', '603000']"
专精特新,3,400,"['000032', '000586', '000701', '000795', '000801', '000852', '000988', '001205', '001208', '001223', '001226', '001229', '001230', '001233', '001255', '001256', '001266', '001270', '001279', '001282', '001285', '001301', '001306', '001308', '001309', '001314', '001336', '001339', '001360', '001369', '001380', '001388', '001390', '001395', '001396', '001400', '001696', '002006', '002054', '002057', '002112', '002115', '002119', '002131', '002134', '002149', '002158', '002166', '002171', '002179', '002190', '002226', '002246', '002265', '002270', '002278', '002296', '002298', '002314', '002324', '002337', '002338', '002340', '002347', '002380', '002393', '002409', '002452', '002478', '002491', '002519', '002522', '002549', '002553', '002560', '002576', '002584', '002587', '002591', '002592', '002606', '002658', '002669', '002675', '002685', '002686', '002692', '002698', '002733', '002747', '002757', '002803', '002805', '002809', '002810', '002812', '002817', '002825', '002829', '002833', '002838', '002846', '002849', '002859', '002866', '002869', '002876', '002877', '002881', '002886', '002890', '002892', '002903', '002912', '002915', '002927', '002932', '002933', '002962', '002970', '002971', '002972', '002979', '002983', '002993', '002996', '002997', '003005', '003008', '003009', '003025', '003029', '003031', '003033', '003038', '003043', '300004', '300007', '300008', '300016', '300018', '300024', '300035', '300046', '300053', '300065', '300076', '300101', '300112', '300129', '300145', '300150', '300153', '300154', '300159', '300162', '300163', '300165', '300172', '300177', '300179', '300183', '300190', '300195', '300200', '300205', '300213', '300214', '300217', '300220', '300229', '300233', '300234', '300236', '300238', '300239', '300249', '300259', '300264', '300275', '300276', '300283', '300286', '300290', '300302', '300303', '300304', '300305', '300306', '300326', '300331', '300337', '300346', '300354', '300357', '300371', '300382', '300385', '300394', '300401', '300402', '300404', '300405', '300406', '300407', '300410', '300411', '300412', '300414', '300416', '300417', '300423', '300425', '300427', '300428', '300429', '300430', '300440', '300446', '300447', '300452', '300460', '300470', '300471', '300479', '300480', '300481', '300484', '300486', '300487', '300488', '300493', '300499', '300503', '300508', '300509', '300510', '300515', '300516', '300531', '300534', '300535', '300539', '300540', '300545', '300546', '300548', '300551', '300553', '300557', '300563', '300576', '300581', '300582', '300585', '300586', '300587', '300588', '300589', '300590', '300593', '300594', '300600', '300604', '300606', '300610', '300611', '300613', '300617', '300623', '300631', '300638', '300642', '300643', '300644', '300648', '300652', '300653', '300661', '300665', '300667', '300669', '300671', '300672', '300678', '300680', '300685', '300689', '300693', '300700', '300706', '300715', '300717', '300718', '300719', '300743', '300753', '300758', '300762', '300769', '300774', '300775', '300777', '300780', '300783', '300784', '300786', '300789', '300800', '300806', '300809', '300810', '300811', '300812', '300816', '300817', '300818', '300820', '300823', '300827', '300833', '300834', '300835', '300837', '300838', '300839', '300842', '300845', '300846', '300848', '300853', '300855', '300862', '300875', '300876', '300880', '300881', '300882', '300884', '300885', '300896', '300897', '300900', '300902', '300903', '300905', '300906', '300909', '300922', '300926', '300929', '300930', '300933', '300936', '300942', '300946', '300950', '300951', '300956', '300962', '300964', '300971', '300980', '300981', '300988', '300990', '300991', '301005', '301006', '301007', '301008', '301009', '301010', '301012', '301013', '301019', '301020', '301028', '301030', '301031', '301040', '301041', '301050', '301053', '301057', '301059', '301060', '301063', '301076', '301077', '301079', '301080', '301081', '301082', '301083', '301086', '301087', '301092', '301095', '301100']"
即将解禁,3,89,"['000032', '000065', '000702', '000751', '000973', '001220', '001221', '001309', '001356', '001979', '002251', '002851', '002967', '300140', '300358', '300446', '300548', '300700', '300779', '300827', '300903', '300904', '301121', '301172', '301297', '301329', '301348', '301371', '301373', '301456', '301487', '301491', '301499', '301503', '301505', '301512', '301515', '301518', '301519', '301609', '301632', '600418', '600469', '600626', '600663', '600733', '600863', '600930', '601112', '603009', '603119', '603220', '603262', '603284', '603352', '603406', '603901', '688293', '688485', '688509', '688563', '688602', '688612', '688627', '688646', '688651', '688671', '688712', '688721', '688759', '688765', '688783', '688785', '688816', '688818', '920005', '920007', '920037', '920086', '920101', '920119', '920125', '920159', '920180', '920189', '920206', '920261', '920718', '920748']"
近已解禁,3,107,"['000100', '000993', '001333', '001369', '001388', '001396', '002157', '002278', '002307', '002753', '002976', '300013', '300084', '300319', '300913', '301105', '301170', '301202', '301225', '301255', '301261', '301265', '301272', '301280', '301297', '301315', '301368', '301370', '301381', '301393', '301397', '301398', '301448', '301449', '301488', '301630', '301667', '301678', '301687', '600299', '600699', '600789', '600819', '601528', '601990', '603027', '603236', '603248', '603363', '603400', '603600', '603725', '603991', '605007', '688062', '688126', '688172', '688176', '688201', '688220', '688331', '688334', '688360', '688373', '688429', '688443', '688535', '688543', '688582', '688603', '688620', '688629', '688631', '688683', '688729', '688790', '688802', '688805', '688807', '688809', '920027', '920033', '920035', '920078', '920082', '920106', '920139', '920145', '920178', '920200', '920208', '920220', '920223', '920262', '920478', '920519', '920547', '920571', '920685', '920719', '920725', '920753', '920768', '920781', '920786', '920896', '920932']"
送转潜力,3,56,"['001205', '001215', '001266', '001325', '001328', '001368', '002864', '003033', '300488', '300644', '300652', '300662', '300833', '300881', '300905', '300908', '300990', '301020', '301080', '301161', '301183', '301195', '301239', '301276', '301289', '301295', '301299', '301309', '301446', '301459', '301568', '301589', '301600', '301603', '301628', '600768', '600976', '603080', '603102', '603124', '603129', '603173', '603199', '603257', '603285', '603322', '603351', '603444', '603661', '603706', '603713', '605058', '605080', '605098', '605123', '605259']"
预高送转,3,1,['001388']
已高送转,3,0,[]
业绩预升,3,397,"['000049', '000055', '000060', '000070', '000089', '000100', '000155', '000301', '000408', '000421', '000426', '000567', '000601', '000603', '000612', '000623', '000626', '000630', '000636', '000657', '000672', '000686', '000703', '000722', '000725', '000783', '000792', '000800', '000807', '000810', '000818', '000893', '000922', '000933', '000938', '000949', '000957', '000966', '000975', '000977', '000987', '000989', '000990', '001218', '001287', '001298', '001313', '001314', '001337', '001339', '001378', '001389', '001395', '002008', '002016', '002039', '002042', '002054', '002064', '002067', '002077', '002079', '002083', '002107', '002108', '002115', '002127', '002132', '002134', '002145', '002151', '002155', '002156', '002162', '002164', '002184', '002185', '002192', '002245', '002246', '002250', '002254', '002266', '002274', '002281', '002292', '002326', '002328', '002335', '002338', '002357', '002365', '002376', '002377', '002378', '002379', '002384', '002386', '002392', '002396', '002406', '002407', '002408', '002414', '002428', '002440', '002452', '002458', '002463', '002479', '002488', '002497', '002517', '002523', '002532', '002541', '002545', '002546', '002552', '002557', '002558', '002606', '002611', '002635', '002636', '002645', '002648', '002653', '002709', '002738', '002745', '002748', '002752', '002756', '002768', '002787', '002793', '002810', '002824', '002826', '002838', '002841', '002842', '002876', '002885', '002916', '002926', '002952', '002956', '002961', '002969', '002975', '002979', '002986', '002990', '002998', '003022', '003026', '300014', '300037', '300054', '300107', '300199', '300209', '300221', '300223', '300233', '300307', '300434', '300458', '300475', '300531', '300592', '300602', '300604', '300607', '300620', '300687', '300748', '300773', '300821', '300851', '300861', '300867', '300919', '300964', '300980', '301062', '301071', '301086', '301099', '301110', '301165', '301179', '301200', '301308', '301345', '301349', '301369', '301377', '301563', '301696', '600010', '600026', '600030', '600078', '600081', '600095', '600105', '600111', '600116', '600120', '600150', '600183', '600186', '600189', '600191', '600201', '600203', '600230', '600233', '600251', '600255', '600256', '600259', '600267', '600272', '600292', '600309', '600346', '600354', '600362', '600366', '600392', '600409', '600428', '600460', '600487', '600489', '600497', '600499', '600505', '600506', '600521', '600522', '600546', '600550', '600595', '600596', '600601', '600619', '600621', '600638', '600655', '600661', '600664', '600685', '600711', '600727', '600736', '600746', '600768', '600770', '600776', '600790', '600801', '600833', '600848', '600872', '600884', '600906', '600909', '600918', '600961', '600988', '600989', '600999', '601002', '601069', '601086', '601101', '601108', '601121', '601138', '601162', '601168', '601208', '601225', '601233', '601336', '601339', '601368', '601375', '601377', '601388', '601500', '601600', '601677', '601678', '601700', '601798', '601869', '601872', '601899', '601969', '601995', '603002', '603031', '603032', '603038', '603045', '603051', '603061', '603068', '603072', '603077', '603083', '603085', '603091', '603093', '603101', '603110', '603115', '603124', '603125', '603127', '603132', '603135', '603162', '603165', '603186', '603196', '603197', '603209', '603223', '603225', '603256', '603268', '603271', '603276', '603296', '603317', '603327', '603329', '603332', '603353', '603444', '603459', '603466', '603489', '603507', '603588', '603608', '603618', '603629', '603630', '603663', '603681', '603726', '603730', '603738', '603806', '603819', '603826', '603876', '603893', '603901', '603929', '603933', '603938', '603969', '603980', '603985', '603986', '603992', '603993', '603997', '605006', '605007', '605020', '605100', '605117', '605118', '605189', '605289', '605299', '688117', '688183', '688257', '688309', '688337', '688378', '688385', '688519', '688548', '688603', '688690']"
业绩预增,3,20,"['000688', '000729', '000791', '002204', '002461', '002475', '002568', '002746', '002803', '002846', '002967', '300012', '300389', '300628', '300733', '300759', '600063', '601211', '603638', '605228']"
业绩预降,3,125,"['000417', '000529', '000557', '000573', '000631', '000712', '000821', '000825', '000868', '000901', '000913', '000932', '000965', '000985', '000993', '001229', '001239', '001260', '001279', '001338', '001388', '002046', '002058', '002097', '002102', '002191', '002225', '002233', '002278', '002300', '002324', '002334', '002394', '002416', '002469', '002526', '002536', '002553', '002641', '002655', '002671', '002705', '002729', '002732', '002827', '002913', '002933', '002981', '003023', '003027', '003037', '301107', '600023', '600032', '600058', '600071', '600080', '600234', '600235', '600248', '600273', '600281', '600308', '600329', '600416', '600420', '600493', '600582', '600629', '600643', '600678', '600702', '600707', '600714', '600728', '600744', '600760', '600819', '600826', '600873', '600879', '600962', '601065', '601113', '601566', '601567', '601595', '601966', '603010', '603062', '603095', '603105', '603213', '603220', '603277', '603289', '603290', '603306', '603325', '603328', '603375', '603439', '603586', '603610', '603619', '603628', '603665', '603668', '603677', '603682', '603693', '603757', '603829', '603833', '603885', '603920', '603948', '603990', '605028', '605077', '605108', '605286', '605333', '605339', '605500']"
