name,category,count,codes
精选指数,0,7,"['399001', '399005', '399006', '399106', '399300', '399903', '999999']"
重点沪指,0,0,[]
沪深300,0,300,"['000001', '000002', '000063', '000100', '000157', '000166', '000301', '000333', '000338', '000408', '000425', '000538', '000568', '000596', '000617', '000625', '000630', '000651', '000657', '000708', '000725', '000768', '000776', '000792', '000807', '000858', '000895', '000938', '000963', '000975', '000977', '000988', '000999', '001280', '001391', '001965', '001979', '002001', '002027', '002028', '002049', '002050', '002074', '002142', '002179', '002202', '002230', '002236', '002241', '002304', '002311', '002352', '002353', '002371', '002384', '002415', '002422', '002460', '002463', '002466', '002475', '002493', '002532', '002558', '002594', '002600', '002602', '002625', '002648', '002709', '002714', '002736', '002837', '002916', '002920', '002938', '003816', '300014', '300015', '300033', '300059', '300122', '300124', '300251', '300274', '300308', '300316', '300394', '300408', '300413', '300418', '300433', '300442', '300450', '300476', '300498', '300502', '300628', '300661', '300750', '300760', '300803', '300832', '300866', '300896', '300999', '301165', '301236', '301269', '301308', '302132', '600000', '600009', '600010', '600011', '600015', '600016', '600018', '600019', '600023', '600025', '600026', '600027', '600028', '600029', '600030', '600031', '600036', '600039', '600048', '600050', '600061', '600066', '600085', '600089', '600104', '600111', '600115', '600118', '600150', '600160', '600176', '600183', '600188', '600196', '600219', '600221', '600233', '600276', '600309', '600346', '600362', '600372', '600406', '600415', '600426', '600436', '600438', '600460', '600482', '600489', '600515', '600519', '600522', '600547', '600549', '600570', '600584', '600585', '600588', '600600', '600660', '600674', '600690', '600741', '600760', '600795', '600803', '600809', '600845', '600875', '600886', '600887', '600893', '600900', '600905', '600918', '600919', '600926', '600930', '600938', '600941', '600958', '600989', '600999', '601006', '601009', '601012', '601018', '601021', '601058', '601059', '601066', '601077', '601088', '601100', '601111', '601117', '601127', '601136', '601138', '601166', '601169', '601186', '601211', '601225', '601229', '601238', '601288', '601318', '601319', '601328', '601336', '601360', '601377', '601390', '601398', '601456', '601600', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601689', '601698', '601727', '601728', '601766', '601788', '601800', '601816', '601818', '601825', '601838', '601857', '601868', '601872', '601877', '601878', '601881', '601888', '601898', '601899', '601901', '601916', '601919', '601939', '601985', '601988', '601995', '601998', '603019', '603259', '603260', '603288', '603296', '603369', '603392', '603501', '603799', '603893', '603986', '603993', '605117', '605499', '688008', '688009', '688012', '688036', '688041', '688047', '688072', '688082', '688111', '688126', '688183', '688223', '688256', '688271', '688303', '688396', '688472', '688506', '688521', '688981']"
深证成指,0,39,"['000001', '000002', '000063', '000069', '000100', '000157', '000166', '000333', '000338', '000402', '000423', '000538', '000568', '000581', '000623', '000625', '000629', '000651', '000725', '000768', '000776', '000783', '000792', '000858', '000895', '001979', '002024', '002081', '002142', '002230', '002236', '002241', '002304', '002353', '002415', '002456', '002594', '300027', '300070']"
创业板指,0,100,"['300001', '300002', '300003', '300012', '300014', '300015', '300017', '300024', '300033', '300037', '300054', '300058', '300059', '300073', '300115', '300122', '300124', '300136', '300144', '300207', '300223', '300251', '300253', '300255', '300274', '300285', '300308', '300316', '300339', '300346', '300347', '300373', '300383', '300390', '300394', '300395', '300408', '300413', '300418', '300432', '300433', '300442', '300450', '300454', '300458', '300474', '300475', '300476', '300487', '300496', '300498', '300502', '300548', '300567', '300604', '300620', '300627', '300628', '300661', '300666', '300672', '300677', '300699', '300718', '300724', '300748', '300750', '300751', '300757', '300759', '300760', '300763', '300765', '300782', '300803', '300832', '300857', '300866', '300888', '300896', '300919', '300953', '300972', '300979', '300999', '301165', '301200', '301217', '301236', '301269', '301301', '301308', '301358', '301377', '301498', '301526', '301536', '301550', '301611', '302132']"
深证50,0,50,"['000063', '000100', '000333', '000338', '000425', '000538', '000568', '000651', '000661', '000725', '000792', '000858', '000938', '000977', '001979', '002001', '002027', '002050', '002202', '002230', '002271', '002311', '002352', '002353', '002371', '002415', '002422', '002463', '002475', '002555', '002558', '002594', '002625', '002648', '002714', '300015', '300033', '300058', '300059', '300124', '300274', '300308', '300395', '300408', '300476', '300498', '300502', '300750', '300760', '300979']"
上证50,0,50,"['600028', '600030', '600031', '600036', '600050', '600089', '600111', '600150', '600183', '600276', '600309', '600406', '600519', '600760', '600809', '600887', '600900', '600930', '601012', '601088', '601127', '601166', '601211', '601288', '601318', '601328', '601398', '601600', '601601', '601628', '601658', '601668', '601688', '601728', '601857', '601888', '601899', '601919', '601988', '603019', '603259', '603501', '603986', '603993', '688008', '688012', '688041', '688111', '688256', '688981']"
科创50,0,50,"['688008', '688009', '688012', '688027', '688036', '688041', '688047', '688065', '688072', '688082', '688099', '688111', '688120', '688122', '688126', '688169', '688183', '688187', '688188', '688213', '688220', '688223', '688249', '688256', '688271', '688297', '688303', '688347', '688361', '688375', '688396', '688469', '688472', '688498', '688506', '688521', '688525', '688538', '688568', '688578', '688599', '688608', '688617', '688702', '688728', '688777', '688795', '688802', '688981', '689009']"
北证50,0,50,"['920002', '920015', '920019', '920029', '920037', '920047', '920060', '920068', '920077', '920088', '920100', '920106', '920111', '920116', '920139', '920174', '920185', '920208', '920239', '920247', '920261', '920368', '920394', '920402', '920418', '920438', '920491', '920493', '920509', '920522', '920533', '920571', '920576', '920593', '920599', '920640', '920720', '920735', '920799', '920806', '920808', '920809', '920819', '920821', '920839', '920879', '920946', '920953', '920978', '920982']"
中证A50,0,50,"['000333', '000617', '000725', '000792', '000988', '002027', '002230', '002371', '002475', '002594', '002602', '002625', '002714', '300015', '300124', '300274', '300308', '300476', '300750', '300760', '600019', '600030', '600031', '600036', '600048', '600111', '600150', '600276', '600309', '600406', '600415', '600436', '600519', '600585', '600660', '600887', '600893', '600900', '600941', '601088', '601318', '601668', '601816', '601857', '601888', '601899', '603259', '603993', '605499', '688981']"
中证A100,0,100,"['000002', '000063', '000100', '000333', '000338', '000425', '000538', '000651', '000725', '000792', '000807', '000963', '001979', '002001', '002028', '002179', '002230', '002352', '002371', '002415', '002422', '002460', '002463', '002466', '002475', '002594', '002625', '002714', '300014', '300015', '300059', '300124', '300274', '300308', '300476', '300502', '300750', '300760', '600010', '600019', '600031', '600036', '600048', '600089', '600111', '600150', '600160', '600196', '600276', '600309', '600406', '600426', '600436', '600438', '600489', '600519', '600547', '600585', '600660', '600690', '600760', '600893', '600895', '600900', '600941', '600989', '601006', '601012', '601088', '601100', '601127', '601225', '601318', '601390', '601398', '601600', '601668', '601669', '601727', '601728', '601766', '601816', '601857', '601888', '601899', '601919', '601985', '603019', '603259', '603501', '603799', '603986', '603993', '688008', '688012', '688041', '688111', '688256', '688271', '688981']"
中证A500,0,0,[]
中证100,0,100,"['000002', '000063', '000100', '000333', '000338', '000425', '000538', '000651', '000725', '000792', '000807', '000963', '001979', '002001', '002028', '002179', '002230', '002352', '002371', '002415', '002422', '002460', '002463', '002466', '002475', '002594', '002625', '002714', '300014', '300015', '300059', '300124', '300274', '300308', '300476', '300502', '300750', '300760', '600010', '600019', '600031', '600036', '600048', '600089', '600111', '600150', '600160', '600196', '600276', '600309', '600406', '600426', '600436', '600438', '600489', '600519', '600547', '600585', '600660', '600690', '600760', '600893', '600895', '600900', '600941', '600989', '601006', '601012', '601088', '601100', '601127', '601225', '601318', '601390', '601398', '601600', '601668', '601669', '601727', '601728', '601766', '601816', '601857', '601888', '601899', '601919', '601985', '603019', '603259', '603501', '603799', '603986', '603993', '688008', '688012', '688041', '688111', '688256', '688271', '688981']"
中证200,0,200,"['000002', '000100', '000157', '000166', '000301', '000338', '000408', '000425', '000538', '000596', '000617', '000625', '000630', '000657', '000708', '000768', '000776', '000807', '000895', '000938', '000963', '000975', '000977', '000988', '000999', '001391', '001965', '001979', '002001', '002027', '002028', '002049', '002074', '002179', '002202', '002230', '002236', '002241', '002304', '002311', '002353', '002384', '002422', '002460', '002463', '002466', '002493', '002532', '002558', '002600', '002602', '002625', '002648', '002709', '002736', '002837', '002916', '002920', '002938', '300014', '300015', '300122', '300251', '300316', '300408', '300413', '300418', '300442', '300450', '300498', '300628', '300661', '300803', '300832', '300866', '300896', '301165', '301236', '301269', '301308', '600009', '600010', '600011', '600015', '600018', '600023', '600026', '600027', '600029', '600039', '600048', '600061', '600066', '600085', '600089', '600115', '600118', '600160', '600176', '600183', '600188', '600196', '600219', '600221', '600233', '600346', '600362', '600372', '600415', '600426', '600436', '600438', '600460', '600482', '600489', '600515', '600522', '600549', '600570', '600584', '600585', '600588', '600600', '600660', '600674', '600741', '600795', '600803', '600845', '600875', '600886', '600893', '600905', '600918', '600926', '600938', '600941', '600958', '600999', '601006', '601012', '601018', '601021', '601058', '601059', '601077', '601100', '601111', '601117', '601136', '601169', '601186', '601238', '601360', '601377', '601390', '601456', '601600', '601607', '601618', '601669', '601689', '601698', '601727', '601788', '601800', '601825', '601838', '601868', '601872', '601877', '601878', '601881', '601898', '601901', '601916', '601995', '603019', '603260', '603296', '603369', '603392', '603799', '603893', '603986', '605117', '688009', '688036', '688047', '688072', '688082', '688126', '688183', '688223', '688271', '688303', '688396', '688472', '688506', '688521']"
中证500,0,0,[]
中证800,0,0,[]
中证1000,0,0,[]
中证2000,0,0,[]
中证龙头,0,50,"['000063', '000333', '000651', '000792', '002027', '002050', '002371', '002415', '002463', '002714', '002916', '300033', '300059', '300124', '300274', '300308', '300394', '300442', '300476', '300502', '300750', '300760', '600030', '600036', '600276', '600406', '600519', '600660', '600760', '600809', '600900', '600938', '600988', '600989', '601088', '601127', '601318', '601319', '601336', '601398', '601600', '601601', '601628', '601899', '601919', '603993', '605117', '688008', '688041', '688111']"
